Group;Question Label;Topic Label;Year;Akse;Ordforklaring;Antpers;Farveskala;Gennemsnit;Score (Indekseret score) (gennemsnit) (label);Score (Indekseret score) (gennemsnit);Score (Indekseret score);Score
Mænd, 55 - 64 år;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";5080;38,852616243;;;;18,223967423;0,911198371
Mænd, 45 - 54 år;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";5367;29,425529088;;;;19,637802224;0,981890111
Mænd, 35 - 44 år;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";3496;18,435371488;;;;21,286059742;1,064302987
Mænd, 25 - 34 år;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";1876;2,222449347;;;;23,717605476;1,185880274
Mænd, 18 - 24 år;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";591;9,439166690;;;;22,635272623;1,131763631
Mænd;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";16410;21,191449736;;;;20,872714742;1,043635737
Kvinder, 55 - 64 år;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";5600;-3,069596506;;;;24,511284209;1,225564210
Kvinder, 45 - 54 år;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";6403;-8,978178761;;;;25,397428474;1,269871424
Kvinder, 35 - 44 år;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";4266;-15,783812624;;;;26,418108758;1,320905438
Kvinder, 25 - 34 år;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";2292;-47,267237148;;;;31,139860081;1,556993004
Kvinder, 18 - 24 år;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";645;-61,147383757;;;;33,221545972;1,661077299
Kvinder;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";19206;-21,191449736;;;;27,229123382;1,361456169
Mænd, 55 - 64 år;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";5123;-0,160085691;;;;75,879584468;3,793979223
Mænd, 55 - 64 år;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";5125;-36,636578101;;;;75,105667884;3,755283394
Mænd, 55 - 64 år;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";5132;-14,533298171;;;;82,778055097;8,277805510
Mænd, 45 - 54 år;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";5415;30,855404368;;;;77,932704373;3,896635219
Mænd, 45 - 54 år;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";5422;1,014546534;;;;79,307498781;3,965374939
Mænd, 45 - 54 år;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";5428;31,294752112;;;;84,695052934;8,469505293
