Gruppe,Køn,Score aller andel,Gennemsnit af high_x95,Gennemsnit af low_x95,Emne,År,Antal personer,Spørgsmålsformulering
"Kvinder, 18 - 24 år",Kvinder,"12,9","13,70","12,19",Depressive symptomer,2018,656,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Kvinder, 25 - 34 år",Kvinder,"11,8","12,22","11,39",Depressive symptomer,2018,2315,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Kvinder, 35 - 44 år",Kvinder,"9,6","9,84","9,30",Depressive symptomer,2018,4291,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Kvinder, 45 - 54 år",Kvinder,"8,8","9,00","8,60",Depressive symptomer,2018,6442,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Kvinder, 55 - 64 år",Kvinder,"7,9","8,12","7,72",Depressive symptomer,2018,5628,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Mænd, 18 - 24 år",Mænd,"9,5","10,22","8,75",Depressive symptomer,2018,599,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Mænd, 25 - 34 år",Mænd,"10,0","10,40","9,54",Depressive symptomer,2018,1892,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Mænd, 35 - 44 år",Mænd,"8,6","8,90","8,34",Depressive symptomer,2018,3523,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Mænd, 45 - 54 år",Mænd,"7,4","7,63","7,23",Depressive symptomer,2018,5394,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
"Mænd, 55 - 64 år",Mænd,"6,6","6,77","6,39",Depressive symptomer,2018,5101,"Depressive symptomer

Samlet score for depressive symptomer


 
  0-50
 




Scoren er beregnet som et gennemsnit (0-50) af 12 spørgsmål, hvoraf to spørgsmål vedrørende appetit og adfærdsændringer er sammenlagt til ét. Den samlede score måler graden af depression, kaldet Major Depression Inventory."
