Gruppe,Køn,Score aller andel,Gennemsnit af high_x95,Gennemsnit af low_x95,Emne,År,Antal personer,Spørgsmålsformulering
"Kvinder, 18 - 24 år",Kvinder,"2,3","2,41","2,21",Træthed og søvnproblemer,2012,732,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Kvinder, 25 - 34 år",Kvinder,"2,3","2,38","2,26",Træthed og søvnproblemer,2012,1589,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Kvinder, 35 - 44 år",Kvinder,"2,4","2,46","2,38",Træthed og søvnproblemer,2012,3255,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Kvinder, 45 - 54 år",Kvinder,"2,7","2,74","2,67",Træthed og søvnproblemer,2012,4341,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Kvinder, 55 - 64 år",Kvinder,"2,8","2,88","2,79",Træthed og søvnproblemer,2012,3072,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Mænd, 18 - 24 år",Mænd,"2,0","2,08","1,89",Træthed og søvnproblemer,2012,626,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Mænd, 25 - 34 år",Mænd,"2,1","2,15","2,04",Træthed og søvnproblemer,2012,1361,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Mænd, 35 - 44 år",Mænd,"2,3","2,37","2,26",Træthed og søvnproblemer,2012,2613,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Mænd, 45 - 54 år",Mænd,"2,4","2,49","2,41",Træthed og søvnproblemer,2012,3521,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
"Mænd, 55 - 64 år",Mænd,"2,5","2,55","2,46",Træthed og søvnproblemer,2012,2959,"Søvnproblemer

Hvor ofte er du vågnet flere gange og har haft svært ved at falde i søvn igen indenfor de seneste fire uger?


 
  1) Aldrig
  2) Sjældent
  3) Sommetider
  4) Ofte
  5) Altid
 




I resultaterne præsenteres den gennemsnitlige score (1-5)."
